id,merchant_id,date,status,amount,platform_fee,source_kind,scenario_id
PAY-008-9,MER-008,2026-05-02,Succeeded,290,7.55,synthetic,planning-v2-seed-20260920
PAY-008-10,MER-008,2026-05-12,Succeeded,301,7.83,synthetic,planning-v2-seed-20260920
PAY-010-1,MER-010,2026-02-19,Succeeded,228,6.0,synthetic,planning-v2-seed-20260920
PAY-010-2,MER-010,2026-03-01,Succeeded,239,6.28,synthetic,planning-v2-seed-20260920
PAY-010-3,MER-010,2026-03-11,Succeeded,250,6.55,synthetic,planning-v2-seed-20260920
PAY-010-4,MER-010,2026-03-21,Succeeded,261,6.83,synthetic,planning-v2-seed-20260920
PAY-010-5,MER-010,2026-03-31,Succeeded,272,7.1,synthetic,planning-v2-seed-20260920
PAY-010-6,MER-010,2026-04-10,Succeeded,283,7.38,synthetic,planning-v2-seed-20260920
PAY-010-7,MER-010,2026-04-20,Succeeded,294,7.65,synthetic,planning-v2-seed-20260920
PAY-010-8,MER-010,2026-04-30,Succeeded,305,7.92,synthetic,planning-v2-seed-20260920
PAY-010-9,MER-010,2026-05-10,Failed,316,0,synthetic,planning-v2-seed-20260920
PAY-010-10,MER-010,2026-05-20,Succeeded,327,8.48,synthetic,planning-v2-seed-20260920
PAY-011-1,MER-011,2026-02-23,Succeeded,241,6.33,synthetic,planning-v2-seed-20260920
PAY-011-2,MER-011,2026-03-05,Succeeded,252,6.6,synthetic,planning-v2-seed-20260920
PAY-011-3,MER-011,2026-03-15,Succeeded,263,6.88,synthetic,planning-v2-seed-20260920
PAY-011-4,MER-011,2026-03-25,Succeeded,274,7.15,synthetic,planning-v2-seed-20260920
PAY-011-5,MER-011,2026-04-04,Succeeded,285,7.42,synthetic,planning-v2-seed-20260920
PAY-011-6,MER-011,2026-04-14,Succeeded,296,7.7,synthetic,planning-v2-seed-20260920
PAY-011-7,MER-011,2026-04-24,Succeeded,307,7.98,synthetic,planning-v2-seed-20260920
PAY-011-8,MER-011,2026-05-04,Failed,318,0,synthetic,planning-v2-seed-20260920
PAY-011-9,MER-011,2026-05-14,Succeeded,329,8.53,synthetic,planning-v2-seed-20260920
PAY-011-10,MER-011,2026-05-24,Succeeded,340,8.8,synthetic,planning-v2-seed-20260920
PAY-012-1,MER-012,2026-02-27,Succeeded,254,6.65,synthetic,planning-v2-seed-20260920
PAY-012-2,MER-012,2026-03-09,Succeeded,265,6.92,synthetic,planning-v2-seed-20260920
PAY-012-3,MER-012,2026-03-19,Succeeded,276,7.2,synthetic,planning-v2-seed-20260920
PAY-012-4,MER-012,2026-03-29,Succeeded,287,7.48,synthetic,planning-v2-seed-20260920
PAY-012-5,MER-012,2026-04-08,Succeeded,298,7.75,synthetic,planning-v2-seed-20260920
PAY-012-6,MER-012,2026-04-18,Succeeded,309,8.03,synthetic,planning-v2-seed-20260920
PAY-012-7,MER-012,2026-04-28,Failed,320,0,synthetic,planning-v2-seed-20260920
PAY-012-8,MER-012,2026-05-08,Succeeded,331,8.58,synthetic,planning-v2-seed-20260920
PAY-012-9,MER-012,2026-05-18,Succeeded,342,8.85,synthetic,planning-v2-seed-20260920
PAY-012-10,MER-012,2026-05-28,Succeeded,353,9.13,synthetic,planning-v2-seed-20260920
PAY-013-1,MER-013,2026-03-03,Succeeded,267,6.98,synthetic,planning-v2-seed-20260920
PAY-013-2,MER-013,2026-03-13,Succeeded,278,7.25,synthetic,planning-v2-seed-20260920
PAY-013-3,MER-013,2026-03-23,Succeeded,289,7.53,synthetic,planning-v2-seed-20260920
PAY-013-4,MER-013,2026-04-02,Succeeded,300,7.8,synthetic,planning-v2-seed-20260920
PAY-013-5,MER-013,2026-04-12,Succeeded,311,8.08,synthetic,planning-v2-seed-20260920
PAY-013-6,MER-013,2026-04-22,Failed,322,0,synthetic,planning-v2-seed-20260920
PAY-013-7,MER-013,2026-05-02,Succeeded,333,8.63,synthetic,planning-v2-seed-20260920
PAY-013-8,MER-013,2026-05-12,Succeeded,344,8.9,synthetic,planning-v2-seed-20260920
PAY-013-9,MER-013,2026-05-22,Succeeded,355,9.18,synthetic,planning-v2-seed-20260920
PAY-013-10,MER-013,2026-06-01,Succeeded,366,9.45,synthetic,planning-v2-seed-20260920
PAY-014-1,MER-014,2026-03-07,Succeeded,280,7.3,synthetic,planning-v2-seed-20260920
PAY-014-2,MER-014,2026-03-17,Succeeded,291,7.58,synthetic,planning-v2-seed-20260920
PAY-014-3,MER-014,2026-03-27,Succeeded,302,7.85,synthetic,planning-v2-seed-20260920
PAY-014-4,MER-014,2026-04-06,Succeeded,313,8.12,synthetic,planning-v2-seed-20260920
PAY-014-5,MER-014,2026-04-16,Failed,324,0,synthetic,planning-v2-seed-20260920
PAY-014-6,MER-014,2026-04-26,Succeeded,335,8.68,synthetic,planning-v2-seed-20260920
PAY-014-7,MER-014,2026-05-06,Succeeded,346,8.95,synthetic,planning-v2-seed-20260920
PAY-014-8,MER-014,2026-05-16,Succeeded,357,9.23,synthetic,planning-v2-seed-20260920
PAY-014-9,MER-014,2026-05-26,Succeeded,368,9.5,synthetic,planning-v2-seed-20260920
PAY-014-10,MER-014,2026-06-05,Succeeded,379,9.78,synthetic,planning-v2-seed-20260920
PAY-015-1,MER-015,2026-03-11,Succeeded,293,7.62,synthetic,planning-v2-seed-20260920
PAY-015-2,MER-015,2026-03-21,Succeeded,304,7.9,synthetic,planning-v2-seed-20260920
PAY-015-3,MER-015,2026-03-31,Succeeded,315,8.18,synthetic,planning-v2-seed-20260920
PAY-015-4,MER-015,2026-04-10,Failed,326,0,synthetic,planning-v2-seed-20260920
PAY-015-5,MER-015,2026-04-20,Succeeded,337,8.73,synthetic,planning-v2-seed-20260920
PAY-015-6,MER-015,2026-04-30,Succeeded,348,9.0,synthetic,planning-v2-seed-20260920
PAY-015-7,MER-015,2026-05-10,Succeeded,359,9.28,synthetic,planning-v2-seed-20260920
PAY-015-8,MER-015,2026-05-20,Succeeded,370,9.55,synthetic,planning-v2-seed-20260920
PAY-015-9,MER-015,2026-05-30,Succeeded,381,9.83,synthetic,planning-v2-seed-20260920
PAY-015-10,MER-015,2026-06-09,Succeeded,392,10.1,synthetic,planning-v2-seed-20260920
PAY-016-1,MER-016,2026-03-15,Succeeded,306,7.95,synthetic,planning-v2-seed-20260920
PAY-016-2,MER-016,2026-03-25,Succeeded,317,8.23,synthetic,planning-v2-seed-20260920
PAY-016-3,MER-016,2026-04-04,Failed,328,0,synthetic,planning-v2-seed-20260920
PAY-016-4,MER-016,2026-04-14,Succeeded,339,8.78,synthetic,planning-v2-seed-20260920
PAY-016-5,MER-016,2026-04-24,Succeeded,350,9.05,synthetic,planning-v2-seed-20260920
PAY-016-6,MER-016,2026-05-04,Succeeded,361,9.33,synthetic,planning-v2-seed-20260920
PAY-016-7,MER-016,2026-05-14,Succeeded,372,9.6,synthetic,planning-v2-seed-20260920
PAY-016-8,MER-016,2026-05-24,Succeeded,383,9.88,synthetic,planning-v2-seed-20260920
PAY-016-9,MER-016,2026-06-03,Succeeded,394,10.15,synthetic,planning-v2-seed-20260920
PAY-016-10,MER-016,2026-06-13,Succeeded,405,10.43,synthetic,planning-v2-seed-20260920
PAY-018-1,MER-018,2026-03-23,Failed,332,0,synthetic,planning-v2-seed-20260920
PAY-018-2,MER-018,2026-04-02,Succeeded,343,8.88,synthetic,planning-v2-seed-20260920
PAY-018-3,MER-018,2026-04-12,Succeeded,354,9.15,synthetic,planning-v2-seed-20260920
PAY-018-4,MER-018,2026-04-22,Succeeded,365,9.43,synthetic,planning-v2-seed-20260920
PAY-018-5,MER-018,2026-05-02,Succeeded,376,9.7,synthetic,planning-v2-seed-20260920
PAY-018-6,MER-018,2026-05-12,Succeeded,387,9.98,synthetic,planning-v2-seed-20260920
PAY-018-7,MER-018,2026-05-22,Succeeded,398,10.25,synthetic,planning-v2-seed-20260920
PAY-018-8,MER-018,2026-06-01,Succeeded,409,10.53,synthetic,planning-v2-seed-20260920
PAY-018-9,MER-018,2026-06-11,Succeeded,420,10.8,synthetic,planning-v2-seed-20260920
PAY-018-10,MER-018,2026-06-21,Failed,431,0,synthetic,planning-v2-seed-20260920
PAY-019-1,MER-019,2026-03-27,Succeeded,345,8.93,synthetic,planning-v2-seed-20260920
PAY-019-2,MER-019,2026-04-06,Succeeded,356,9.2,synthetic,planning-v2-seed-20260920
PAY-019-3,MER-019,2026-04-16,Succeeded,367,9.48,synthetic,planning-v2-seed-20260920
PAY-019-4,MER-019,2026-04-26,Succeeded,378,9.75,synthetic,planning-v2-seed-20260920
PAY-019-5,MER-019,2026-05-06,Succeeded,389,10.03,synthetic,planning-v2-seed-20260920
PAY-019-6,MER-019,2026-05-16,Succeeded,400,10.3,synthetic,planning-v2-seed-20260920
PAY-019-7,MER-019,2026-05-26,Succeeded,411,10.58,synthetic,planning-v2-seed-20260920
PAY-019-8,MER-019,2026-06-05,Succeeded,422,10.85,synthetic,planning-v2-seed-20260920
PAY-019-9,MER-019,2026-06-15,Failed,433,0,synthetic,planning-v2-seed-20260920
PAY-019-10,MER-019,2026-06-25,Succeeded,444,11.4,synthetic,planning-v2-seed-20260920
PAY-020-1,MER-020,2026-03-12,Succeeded,358,9.25,synthetic,planning-v2-seed-20260920
PAY-020-2,MER-020,2026-03-22,Succeeded,369,9.53,synthetic,planning-v2-seed-20260920
PAY-020-3,MER-020,2026-04-01,Succeeded,380,9.8,synthetic,planning-v2-seed-20260920
PAY-020-4,MER-020,2026-04-11,Succeeded,391,10.08,synthetic,planning-v2-seed-20260920
PAY-020-5,MER-020,2026-04-21,Succeeded,402,10.35,synthetic,planning-v2-seed-20260920
PAY-020-6,MER-020,2026-05-01,Succeeded,413,10.63,synthetic,planning-v2-seed-20260920
PAY-020-7,MER-020,2026-05-11,Succeeded,424,10.9,synthetic,planning-v2-seed-20260920
PAY-020-8,MER-020,2026-05-21,Failed,435,0,synthetic,planning-v2-seed-20260920
PAY-020-9,MER-020,2026-05-31,Succeeded,446,11.45,synthetic,planning-v2-seed-20260920
PAY-020-10,MER-020,2026-06-10,Succeeded,457,11.73,synthetic,planning-v2-seed-20260920
PAY-021-1,MER-021,2026-03-16,Succeeded,371,9.58,synthetic,planning-v2-seed-20260920
PAY-021-2,MER-021,2026-03-26,Succeeded,382,9.85,synthetic,planning-v2-seed-20260920
PAY-021-3,MER-021,2026-04-05,Succeeded,393,10.13,synthetic,planning-v2-seed-20260920
PAY-021-4,MER-021,2026-04-15,Succeeded,404,10.4,synthetic,planning-v2-seed-20260920
PAY-021-5,MER-021,2026-04-25,Succeeded,415,10.68,synthetic,planning-v2-seed-20260920
PAY-021-6,MER-021,2026-05-05,Succeeded,426,10.95,synthetic,planning-v2-seed-20260920
PAY-021-7,MER-021,2026-05-15,Failed,437,0,synthetic,planning-v2-seed-20260920
PAY-021-8,MER-021,2026-05-25,Succeeded,448,11.5,synthetic,planning-v2-seed-20260920
PAY-021-9,MER-021,2026-06-04,Succeeded,459,11.78,synthetic,planning-v2-seed-20260920
PAY-021-10,MER-021,2026-06-14,Succeeded,470,12.05,synthetic,planning-v2-seed-20260920
PAY-022-1,MER-022,2026-03-20,Succeeded,384,9.9,synthetic,planning-v2-seed-20260920
PAY-022-2,MER-022,2026-03-30,Succeeded,395,10.18,synthetic,planning-v2-seed-20260920
PAY-022-3,MER-022,2026-04-09,Succeeded,406,10.45,synthetic,planning-v2-seed-20260920
PAY-022-4,MER-022,2026-04-19,Succeeded,417,10.73,synthetic,planning-v2-seed-20260920
PAY-022-5,MER-022,2026-04-29,Succeeded,428,11.0,synthetic,planning-v2-seed-20260920
PAY-022-6,MER-022,2026-05-09,Failed,439,0,synthetic,planning-v2-seed-20260920
PAY-022-7,MER-022,2026-05-19,Succeeded,450,11.55,synthetic,planning-v2-seed-20260920
PAY-022-8,MER-022,2026-05-29,Succeeded,461,11.83,synthetic,planning-v2-seed-20260920
PAY-022-9,MER-022,2026-06-08,Succeeded,472,12.1,synthetic,planning-v2-seed-20260920
PAY-022-10,MER-022,2026-06-18,Succeeded,483,12.38,synthetic,planning-v2-seed-20260920
PAY-023-1,MER-023,2026-03-24,Succeeded,397,10.23,synthetic,planning-v2-seed-20260920
PAY-023-2,MER-023,2026-04-03,Succeeded,408,10.5,synthetic,planning-v2-seed-20260920
PAY-023-3,MER-023,2026-04-13,Succeeded,419,10.78,synthetic,planning-v2-seed-20260920
PAY-023-4,MER-023,2026-04-23,Succeeded,430,11.05,synthetic,planning-v2-seed-20260920
PAY-023-5,MER-023,2026-05-03,Failed,441,0,synthetic,planning-v2-seed-20260920
PAY-023-6,MER-023,2026-05-13,Succeeded,452,11.6,synthetic,planning-v2-seed-20260920
PAY-023-7,MER-023,2026-05-23,Succeeded,463,11.88,synthetic,planning-v2-seed-20260920
PAY-023-8,MER-023,2026-06-02,Succeeded,474,12.15,synthetic,planning-v2-seed-20260920
PAY-023-9,MER-023,2026-06-12,Succeeded,485,12.43,synthetic,planning-v2-seed-20260920
PAY-023-10,MER-023,2026-06-22,Succeeded,496,12.7,synthetic,planning-v2-seed-20260920
PAY-024-1,MER-024,2026-03-28,Succeeded,410,10.55,synthetic,planning-v2-seed-20260920
PAY-024-2,MER-024,2026-04-07,Succeeded,421,10.83,synthetic,planning-v2-seed-20260920
PAY-024-3,MER-024,2026-04-17,Succeeded,432,11.1,synthetic,planning-v2-seed-20260920
PAY-024-4,MER-024,2026-04-27,Failed,443,0,synthetic,planning-v2-seed-20260920
PAY-024-5,MER-024,2026-05-07,Succeeded,454,11.65,synthetic,planning-v2-seed-20260920
PAY-024-6,MER-024,2026-05-17,Succeeded,465,11.93,synthetic,planning-v2-seed-20260920
PAY-024-7,MER-024,2026-05-27,Succeeded,476,12.2,synthetic,planning-v2-seed-20260920
PAY-024-8,MER-024,2026-06-06,Succeeded,487,12.48,synthetic,planning-v2-seed-20260920
PAY-024-9,MER-024,2026-06-16,Succeeded,498,12.75,synthetic,planning-v2-seed-20260920
PAY-024-10,MER-024,2026-06-26,Succeeded,509,13.03,synthetic,planning-v2-seed-20260920
PAY-026-1,MER-026,2026-04-05,Succeeded,436,11.2,synthetic,planning-v2-seed-20260920
PAY-026-2,MER-026,2026-04-15,Failed,447,0,synthetic,planning-v2-seed-20260920
PAY-026-3,MER-026,2026-04-25,Succeeded,458,11.75,synthetic,planning-v2-seed-20260920
PAY-026-4,MER-026,2026-05-05,Succeeded,469,12.03,synthetic,planning-v2-seed-20260920
PAY-026-5,MER-026,2026-05-15,Succeeded,480,12.3,synthetic,planning-v2-seed-20260920
PAY-026-6,MER-026,2026-05-25,Succeeded,491,12.58,synthetic,planning-v2-seed-20260920
PAY-026-7,MER-026,2026-06-04,Succeeded,502,12.85,synthetic,planning-v2-seed-20260920
PAY-026-8,MER-026,2026-06-14,Succeeded,513,13.13,synthetic,planning-v2-seed-20260920
PAY-026-9,MER-026,2026-06-24,Succeeded,524,13.4,synthetic,planning-v2-seed-20260920
PAY-026-10,MER-026,2026-07-04,Succeeded,535,13.68,synthetic,planning-v2-seed-20260920
PAY-027-1,MER-027,2026-04-09,Failed,449,0,synthetic,planning-v2-seed-20260920
PAY-027-2,MER-027,2026-04-19,Succeeded,460,11.8,synthetic,planning-v2-seed-20260920
PAY-027-3,MER-027,2026-04-29,Succeeded,471,12.08,synthetic,planning-v2-seed-20260920
PAY-027-4,MER-027,2026-05-09,Succeeded,482,12.35,synthetic,planning-v2-seed-20260920
PAY-027-5,MER-027,2026-05-19,Succeeded,493,12.63,synthetic,planning-v2-seed-20260920
PAY-027-6,MER-027,2026-05-29,Succeeded,504,12.9,synthetic,planning-v2-seed-20260920
PAY-027-7,MER-027,2026-06-08,Succeeded,515,13.18,synthetic,planning-v2-seed-20260920
PAY-027-8,MER-027,2026-06-18,Succeeded,526,13.45,synthetic,planning-v2-seed-20260920
PAY-027-9,MER-027,2026-06-28,Succeeded,537,13.73,synthetic,planning-v2-seed-20260920
PAY-027-10,MER-027,2026-07-08,Failed,548,0,synthetic,planning-v2-seed-20260920
PAY-028-1,MER-028,2026-04-13,Succeeded,462,11.85,synthetic,planning-v2-seed-20260920
PAY-028-2,MER-028,2026-04-23,Succeeded,473,12.13,synthetic,planning-v2-seed-20260920
PAY-028-3,MER-028,2026-05-03,Succeeded,484,12.4,synthetic,planning-v2-seed-20260920
PAY-028-4,MER-028,2026-05-13,Succeeded,495,12.68,synthetic,planning-v2-seed-20260920
PAY-028-5,MER-028,2026-05-23,Succeeded,506,12.95,synthetic,planning-v2-seed-20260920
PAY-028-6,MER-028,2026-06-02,Succeeded,517,13.23,synthetic,planning-v2-seed-20260920
PAY-028-7,MER-028,2026-06-12,Succeeded,528,13.5,synthetic,planning-v2-seed-20260920
PAY-028-8,MER-028,2026-06-22,Succeeded,539,13.78,synthetic,planning-v2-seed-20260920
PAY-028-9,MER-028,2026-07-02,Failed,550,0,synthetic,planning-v2-seed-20260920
PAY-028-10,MER-028,2026-07-12,Succeeded,561,14.33,synthetic,planning-v2-seed-20260920
PAY-029-1,MER-029,2026-04-17,Succeeded,475,12.18,synthetic,planning-v2-seed-20260920
PAY-029-2,MER-029,2026-04-27,Succeeded,486,12.45,synthetic,planning-v2-seed-20260920
PAY-029-3,MER-029,2026-05-07,Succeeded,497,12.73,synthetic,planning-v2-seed-20260920
PAY-029-4,MER-029,2026-05-17,Succeeded,508,13.0,synthetic,planning-v2-seed-20260920
PAY-029-5,MER-029,2026-05-27,Succeeded,519,13.28,synthetic,planning-v2-seed-20260920
PAY-029-6,MER-029,2026-06-06,Succeeded,530,13.55,synthetic,planning-v2-seed-20260920
PAY-029-7,MER-029,2026-06-16,Succeeded,541,13.83,synthetic,planning-v2-seed-20260920
PAY-029-8,MER-029,2026-06-26,Failed,552,0,synthetic,planning-v2-seed-20260920
PAY-029-9,MER-029,2026-07-06,Succeeded,563,14.38,synthetic,planning-v2-seed-20260920
PAY-029-10,MER-029,2026-07-16,Succeeded,574,14.65,synthetic,planning-v2-seed-20260920
PAY-030-1,MER-030,2026-04-21,Succeeded,488,12.5,synthetic,planning-v2-seed-20260920
PAY-030-2,MER-030,2026-05-01,Succeeded,499,12.78,synthetic,planning-v2-seed-20260920
PAY-030-3,MER-030,2026-05-11,Succeeded,510,13.05,synthetic,planning-v2-seed-20260920
PAY-030-4,MER-030,2026-05-21,Succeeded,521,13.33,synthetic,planning-v2-seed-20260920
PAY-030-5,MER-030,2026-05-31,Succeeded,532,13.6,synthetic,planning-v2-seed-20260920
PAY-030-6,MER-030,2026-06-10,Succeeded,543,13.88,synthetic,planning-v2-seed-20260920
PAY-030-7,MER-030,2026-06-20,Failed,554,0,synthetic,planning-v2-seed-20260920
PAY-030-8,MER-030,2026-06-30,Succeeded,565,14.43,synthetic,planning-v2-seed-20260920
PAY-030-9,MER-030,2026-07-10,Succeeded,576,14.7,synthetic,planning-v2-seed-20260920
PAY-030-10,MER-030,2026-07-20,Succeeded,587,14.98,synthetic,planning-v2-seed-20260920
PAY-031-1,MER-031,2026-04-25,Succeeded,501,12.83,synthetic,planning-v2-seed-20260920
PAY-031-2,MER-031,2026-05-05,Succeeded,512,13.1,synthetic,planning-v2-seed-20260920
PAY-031-3,MER-031,2026-05-15,Succeeded,523,13.38,synthetic,planning-v2-seed-20260920
PAY-031-4,MER-031,2026-05-25,Succeeded,534,13.65,synthetic,planning-v2-seed-20260920
PAY-031-5,MER-031,2026-06-04,Succeeded,545,13.93,synthetic,planning-v2-seed-20260920
PAY-031-6,MER-031,2026-06-14,Failed,556,0,synthetic,planning-v2-seed-20260920
PAY-031-7,MER-031,2026-06-24,Succeeded,567,14.48,synthetic,planning-v2-seed-20260920
PAY-031-8,MER-031,2026-07-04,Succeeded,578,14.75,synthetic,planning-v2-seed-20260920
PAY-031-9,MER-031,2026-07-14,Succeeded,589,15.03,synthetic,planning-v2-seed-20260920
PAY-031-10,MER-031,2026-07-24,Succeeded,600,15.3,synthetic,planning-v2-seed-20260920
PAY-032-1,MER-032,2026-04-29,Succeeded,514,13.15,synthetic,planning-v2-seed-20260920
PAY-032-2,MER-032,2026-05-09,Succeeded,525,13.43,synthetic,planning-v2-seed-20260920
PAY-032-3,MER-032,2026-05-19,Succeeded,536,13.7,synthetic,planning-v2-seed-20260920
PAY-032-4,MER-032,2026-05-29,Succeeded,547,13.98,synthetic,planning-v2-seed-20260920
PAY-032-5,MER-032,2026-06-08,Failed,558,0,synthetic,planning-v2-seed-20260920
PAY-032-6,MER-032,2026-06-18,Succeeded,569,14.53,synthetic,planning-v2-seed-20260920
PAY-032-7,MER-032,2026-06-28,Succeeded,580,14.8,synthetic,planning-v2-seed-20260920
PAY-032-8,MER-032,2026-07-08,Succeeded,591,15.08,synthetic,planning-v2-seed-20260920
PAY-032-9,MER-032,2026-07-18,Succeeded,602,15.35,synthetic,planning-v2-seed-20260920
PAY-032-10,MER-032,2026-07-28,Succeeded,613,15.63,synthetic,planning-v2-seed-20260920
PAY-034-1,MER-034,2026-05-07,Succeeded,540,13.8,synthetic,planning-v2-seed-20260920
