id,opportunity_id,seller_id,booking_date,activation_date,recognition_date,amount,short_cycle,product,segment,source_kind,scenario_id
REV-0045-0,SIM-0045,S010,2026-06-23,2026-07-07,2026-07-07,8400.0,False,GTX Plus Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0045-1,SIM-0045,S010,2026-06-23,2026-07-07,2026-08-06,5600.0,False,GTX Plus Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0052-0,SIM-0052,S017,2026-05-11,2026-05-25,2026-05-25,39000.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0052-1,SIM-0052,S017,2026-05-11,2026-05-25,2026-06-24,26000.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0053-0,SIM-0053,S018,2026-04-30,2026-05-14,2026-05-14,18600.0,False,GTX Plus Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0053-1,SIM-0053,S018,2026-04-30,2026-05-14,2026-06-13,12400.0,False,GTX Plus Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0056-0,SIM-0056,S021,2026-08-15,2026-08-18,2026-08-18,39000,True,MG Special,Enterprise,synthetic,planning-v2-seed-20260920
REV-0057-0,SIM-0057,S022,2026-04-04,2026-04-18,2026-04-18,15600.0,False,GTK 500,Scale,synthetic,planning-v2-seed-20260920
REV-0057-1,SIM-0057,S022,2026-04-04,2026-04-18,2026-05-18,10400.0,False,GTK 500,Scale,synthetic,planning-v2-seed-20260920
REV-0058-0,SIM-0058,S023,2026-05-20,2026-06-03,2026-06-03,18000.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0058-1,SIM-0058,S023,2026-05-20,2026-06-03,2026-07-03,12000.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0059-0,SIM-0059,S024,2026-06-25,2026-07-09,2026-07-09,46800.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0059-1,SIM-0059,S024,2026-06-25,2026-07-09,2026-08-08,31200.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0060-0,SIM-0060,S025,2026-04-22,2026-05-06,2026-05-06,54600.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0060-1,SIM-0060,S025,2026-04-22,2026-05-06,2026-06-05,36400.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0072-0,SIM-0072,S002,2026-01-29,2026-02-12,2026-02-12,53400.0,False,GTX Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0072-1,SIM-0072,S002,2026-01-29,2026-02-12,2026-03-14,35600.0,False,GTX Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0073-0,SIM-0073,S003,2026-08-23,2026-09-06,2026-09-06,37800.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0073-1,SIM-0073,S003,2026-08-23,2026-09-06,2026-10-06,25200.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0075-0,SIM-0075,S005,2026-05-06,2026-05-20,2026-05-20,34200.0,False,GTX Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0075-1,SIM-0075,S005,2026-05-06,2026-05-20,2026-06-19,22800.0,False,GTX Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0076-0,SIM-0076,S006,2026-07-01,2026-07-04,2026-07-04,23000,True,MG Advanced,Growth,synthetic,planning-v2-seed-20260920
REV-0080-0,SIM-0080,S010,2026-04-04,2026-04-18,2026-04-18,16200.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0080-1,SIM-0080,S010,2026-04-04,2026-04-18,2026-05-18,10800.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0082-0,SIM-0082,S012,2026-05-01,2026-05-15,2026-05-15,7800.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0082-1,SIM-0082,S012,2026-05-01,2026-05-15,2026-06-14,5200.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0083-0,SIM-0083,S013,2026-09-04,2026-09-18,2026-09-18,23400.0,False,MG Advanced,Enterprise,synthetic,planning-v2-seed-20260920
REV-0083-1,SIM-0083,S013,2026-09-04,2026-09-18,2026-10-18,15600.0,False,MG Advanced,Enterprise,synthetic,planning-v2-seed-20260920
REV-0088-0,SIM-0088,S018,2026-06-15,2026-06-29,2026-06-29,28200.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0088-1,SIM-0088,S018,2026-06-15,2026-06-29,2026-07-29,18800.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0089-0,SIM-0089,S019,2026-03-17,2026-03-31,2026-03-31,19800.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0089-1,SIM-0089,S019,2026-03-17,2026-03-31,2026-04-30,13200.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0092-0,SIM-0092,S022,2026-05-07,2026-05-21,2026-05-21,21600.0,False,GTK 500,Growth,synthetic,planning-v2-seed-20260920
REV-0092-1,SIM-0092,S022,2026-05-07,2026-05-21,2026-06-20,14400.0,False,GTK 500,Growth,synthetic,planning-v2-seed-20260920
REV-0094-0,SIM-0094,S024,2026-09-02,2026-09-16,2026-09-16,21600.0,False,GTX Plus Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0094-1,SIM-0094,S024,2026-09-02,2026-09-16,2026-10-16,14400.0,False,GTX Plus Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0100-0,SIM-0100,S030,2026-09-06,2026-09-20,2026-09-20,57600.0,False,GTX Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0100-1,SIM-0100,S030,2026-09-06,2026-09-20,2026-10-20,38400.0,False,GTX Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0107-0,SIM-0107,S002,2026-04-21,2026-05-05,2026-05-05,11400.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0107-1,SIM-0107,S002,2026-04-21,2026-05-05,2026-06-04,7600.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0110-0,SIM-0110,S005,2026-03-29,2026-04-12,2026-04-12,16200.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0110-1,SIM-0110,S005,2026-03-29,2026-04-12,2026-05-12,10800.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0114-0,SIM-0114,S009,2026-08-30,2026-09-13,2026-09-13,11400.0,False,GTX Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0114-1,SIM-0114,S009,2026-08-30,2026-09-13,2026-10-13,7600.0,False,GTX Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0117-0,SIM-0117,S012,2026-05-31,2026-06-14,2026-06-14,25200.0,False,GTX Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0117-1,SIM-0117,S012,2026-05-31,2026-06-14,2026-07-14,16800.0,False,GTX Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0118-0,SIM-0118,S013,2026-04-11,2026-04-25,2026-04-25,24600.0,False,MG Advanced,Scale,synthetic,planning-v2-seed-20260920
REV-0118-1,SIM-0118,S013,2026-04-11,2026-04-25,2026-05-25,16400.0,False,MG Advanced,Scale,synthetic,planning-v2-seed-20260920
REV-0119-0,SIM-0119,S014,2026-08-18,2026-09-01,2026-09-01,6600.0,False,MG Special,Growth,synthetic,planning-v2-seed-20260920
REV-0119-1,SIM-0119,S014,2026-08-18,2026-09-01,2026-10-01,4400.0,False,MG Special,Growth,synthetic,planning-v2-seed-20260920
REV-0121-0,SIM-0121,S016,2026-08-03,2026-08-06,2026-08-06,103000,True,GTX Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0122-0,SIM-0122,S017,2026-07-22,2026-08-05,2026-08-05,51000.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0122-1,SIM-0122,S017,2026-07-22,2026-08-05,2026-09-04,34000.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0123-0,SIM-0123,S018,2026-06-06,2026-06-20,2026-06-20,22800.0,False,GTX Plus Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0123-1,SIM-0123,S018,2026-06-06,2026-06-20,2026-07-20,15200.0,False,GTX Plus Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0129-0,SIM-0129,S024,2026-07-24,2026-08-07,2026-08-07,40800.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0129-1,SIM-0129,S024,2026-07-24,2026-08-07,2026-09-06,27200.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0130-0,SIM-0130,S025,2026-02-17,2026-03-03,2026-03-03,18000.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0130-1,SIM-0130,S025,2026-02-17,2026-03-03,2026-04-02,12000.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0133-0,SIM-0133,S028,2026-03-05,2026-03-19,2026-03-19,13800.0,False,MG Special,Scale,synthetic,planning-v2-seed-20260920
REV-0133-1,SIM-0133,S028,2026-03-05,2026-03-19,2026-04-18,9200.0,False,MG Special,Scale,synthetic,planning-v2-seed-20260920
REV-0141-0,SIM-0141,S001,2026-05-29,2026-06-01,2026-06-01,71000,True,GTK 500,Enterprise,synthetic,planning-v2-seed-20260920
REV-0143-0,SIM-0143,S003,2026-07-20,2026-08-03,2026-08-03,46200.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0143-1,SIM-0143,S003,2026-07-20,2026-08-03,2026-09-02,30800.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0151-0,SIM-0151,S011,2026-08-06,2026-08-09,2026-08-09,74000,True,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0152-0,SIM-0152,S012,2026-05-19,2026-06-02,2026-06-02,15600.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0152-1,SIM-0152,S012,2026-05-19,2026-06-02,2026-07-02,10400.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0155-0,SIM-0155,S015,2026-03-21,2026-04-04,2026-04-04,12000.0,False,GTK 500,Growth,synthetic,planning-v2-seed-20260920
REV-0155-1,SIM-0155,S015,2026-03-21,2026-04-04,2026-05-04,8000.0,False,GTK 500,Growth,synthetic,planning-v2-seed-20260920
REV-0158-0,SIM-0158,S018,2026-09-16,2026-09-30,2026-09-30,7800.0,False,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0158-1,SIM-0158,S018,2026-09-16,2026-09-30,2026-10-30,5200.0,False,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0159-0,SIM-0159,S019,2026-01-28,2026-02-11,2026-02-11,38400.0,False,GTX Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0159-1,SIM-0159,S019,2026-01-28,2026-02-11,2026-03-13,25600.0,False,GTX Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0160-0,SIM-0160,S020,2026-05-24,2026-06-07,2026-06-07,42600.0,False,MG Advanced,Scale,synthetic,planning-v2-seed-20260920
REV-0160-1,SIM-0160,S020,2026-05-24,2026-06-07,2026-07-07,28400.0,False,MG Advanced,Scale,synthetic,planning-v2-seed-20260920
REV-0162-0,SIM-0162,S022,2026-05-18,2026-06-01,2026-06-01,25800.0,False,GTK 500,Enterprise,synthetic,planning-v2-seed-20260920
REV-0162-1,SIM-0162,S022,2026-05-18,2026-06-01,2026-07-01,17200.0,False,GTK 500,Enterprise,synthetic,planning-v2-seed-20260920
REV-0163-0,SIM-0163,S023,2026-09-14,2026-09-28,2026-09-28,7800.0,False,GTX Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0163-1,SIM-0163,S023,2026-09-14,2026-09-28,2026-10-28,5200.0,False,GTX Basic,Scale,synthetic,planning-v2-seed-20260920
REV-0164-0,SIM-0164,S024,2026-06-22,2026-07-06,2026-07-06,48600.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0164-1,SIM-0164,S024,2026-06-22,2026-07-06,2026-08-05,32400.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0166-0,SIM-0166,S026,2026-08-04,2026-08-07,2026-08-07,90000,True,GTX Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0167-0,SIM-0167,S027,2026-06-15,2026-06-29,2026-06-29,11400.0,False,MG Advanced,Growth,synthetic,planning-v2-seed-20260920
REV-0167-1,SIM-0167,S027,2026-06-15,2026-06-29,2026-07-29,7600.0,False,MG Advanced,Growth,synthetic,planning-v2-seed-20260920
REV-0170-0,SIM-0170,S030,2026-06-20,2026-07-04,2026-07-04,49200.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0170-1,SIM-0170,S030,2026-06-20,2026-07-04,2026-08-03,32800.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0171-0,SIM-0171,S031,2026-08-30,2026-09-02,2026-09-02,55000,True,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0180-0,SIM-0180,S005,2026-03-04,2026-03-18,2026-03-18,33600.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0180-1,SIM-0180,S005,2026-03-04,2026-03-18,2026-04-17,22400.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0183-0,SIM-0183,S008,2026-07-14,2026-07-28,2026-07-28,31200.0,False,GTK 500,Growth,synthetic,planning-v2-seed-20260920
REV-0183-1,SIM-0183,S008,2026-07-14,2026-07-28,2026-08-27,20800.0,False,GTK 500,Growth,synthetic,planning-v2-seed-20260920
REV-0184-0,SIM-0184,S009,2026-03-10,2026-03-24,2026-03-24,43200.0,False,GTX Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0184-1,SIM-0184,S009,2026-03-10,2026-03-24,2026-04-23,28800.0,False,GTX Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0187-0,SIM-0187,S012,2026-07-31,2026-08-14,2026-08-14,20400.0,False,GTX Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0187-1,SIM-0187,S012,2026-07-31,2026-08-14,2026-09-13,13600.0,False,GTX Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0188-0,SIM-0188,S013,2026-08-08,2026-08-22,2026-08-22,30600.0,False,MG Advanced,Scale,synthetic,planning-v2-seed-20260920
REV-0188-1,SIM-0188,S013,2026-08-08,2026-08-22,2026-09-21,20400.0,False,MG Advanced,Scale,synthetic,planning-v2-seed-20260920
REV-0189-0,SIM-0189,S014,2026-06-14,2026-06-28,2026-06-28,54600.0,False,MG Special,Growth,synthetic,planning-v2-seed-20260920
REV-0189-1,SIM-0189,S014,2026-06-14,2026-06-28,2026-07-28,36400.0,False,MG Special,Growth,synthetic,planning-v2-seed-20260920
REV-0190-0,SIM-0190,S015,2026-08-27,2026-09-10,2026-09-10,27600.0,False,GTK 500,Enterprise,synthetic,planning-v2-seed-20260920
REV-0190-1,SIM-0190,S015,2026-08-27,2026-09-10,2026-10-10,18400.0,False,GTK 500,Enterprise,synthetic,planning-v2-seed-20260920
REV-0196-0,SIM-0196,S021,2026-08-04,2026-08-07,2026-08-07,14000,True,MG Special,Enterprise,synthetic,planning-v2-seed-20260920
REV-0197-0,SIM-0197,S022,2026-08-11,2026-08-25,2026-08-25,39600.0,False,GTK 500,Scale,synthetic,planning-v2-seed-20260920
REV-0197-1,SIM-0197,S022,2026-08-11,2026-08-25,2026-09-24,26400.0,False,GTK 500,Scale,synthetic,planning-v2-seed-20260920
REV-0203-0,SIM-0203,S028,2026-08-21,2026-09-04,2026-09-04,35400.0,False,MG Special,Scale,synthetic,planning-v2-seed-20260920
REV-0203-1,SIM-0203,S028,2026-08-21,2026-09-04,2026-10-04,23600.0,False,MG Special,Scale,synthetic,planning-v2-seed-20260920
REV-0205-0,SIM-0205,S030,2026-05-08,2026-05-22,2026-05-22,42000.0,False,GTX Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0205-1,SIM-0205,S030,2026-05-08,2026-05-22,2026-06-21,28000.0,False,GTX Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0216-0,SIM-0216,S006,2026-04-20,2026-04-23,2026-04-23,95000,True,MG Advanced,Growth,synthetic,planning-v2-seed-20260920
REV-0217-0,SIM-0217,S007,2026-08-18,2026-09-01,2026-09-01,50400.0,False,MG Special,Enterprise,synthetic,planning-v2-seed-20260920
REV-0217-1,SIM-0217,S007,2026-08-18,2026-09-01,2026-10-01,33600.0,False,MG Special,Enterprise,synthetic,planning-v2-seed-20260920
REV-0219-0,SIM-0219,S009,2026-04-04,2026-04-18,2026-04-18,51600.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0219-1,SIM-0219,S009,2026-04-04,2026-04-18,2026-05-18,34400.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0221-0,SIM-0221,S011,2026-04-18,2026-04-21,2026-04-21,53000,True,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0223-0,SIM-0223,S013,2026-02-24,2026-03-10,2026-03-10,43800.0,False,MG Advanced,Enterprise,synthetic,planning-v2-seed-20260920
REV-0223-1,SIM-0223,S013,2026-02-24,2026-03-10,2026-04-09,29200.0,False,MG Advanced,Enterprise,synthetic,planning-v2-seed-20260920
REV-0225-0,SIM-0225,S015,2026-03-08,2026-03-22,2026-03-22,16200.0,False,GTK 500,Growth,synthetic,planning-v2-seed-20260920
REV-0225-1,SIM-0225,S015,2026-03-08,2026-03-22,2026-04-21,10800.0,False,GTK 500,Growth,synthetic,planning-v2-seed-20260920
REV-0228-0,SIM-0228,S018,2026-06-16,2026-06-30,2026-06-30,13800.0,False,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0228-1,SIM-0228,S018,2026-06-16,2026-06-30,2026-07-30,9200.0,False,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0229-0,SIM-0229,S019,2026-04-10,2026-04-24,2026-04-24,52200.0,False,GTX Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0229-1,SIM-0229,S019,2026-04-10,2026-04-24,2026-05-24,34800.0,False,GTX Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0230-0,SIM-0230,S020,2026-03-15,2026-03-29,2026-03-29,18600.0,False,MG Advanced,Scale,synthetic,planning-v2-seed-20260920
REV-0230-1,SIM-0230,S020,2026-03-15,2026-03-29,2026-04-28,12400.0,False,MG Advanced,Scale,synthetic,planning-v2-seed-20260920
REV-0235-0,SIM-0235,S025,2026-02-09,2026-02-23,2026-02-23,36000.0,False,GTX Plus Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0235-1,SIM-0235,S025,2026-02-09,2026-02-23,2026-03-25,24000.0,False,GTX Plus Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0236-0,SIM-0236,S026,2026-06-11,2026-06-14,2026-06-14,78000,True,GTX Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0239-0,SIM-0239,S029,2026-04-14,2026-04-28,2026-04-28,41400.0,False,GTK 500,Scale,synthetic,planning-v2-seed-20260920
REV-0239-1,SIM-0239,S029,2026-04-14,2026-04-28,2026-05-28,27600.0,False,GTK 500,Scale,synthetic,planning-v2-seed-20260920
REV-0250-0,SIM-0250,S005,2026-04-29,2026-05-13,2026-05-13,45000.0,False,GTX Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0250-1,SIM-0250,S005,2026-04-29,2026-05-13,2026-06-12,30000.0,False,GTX Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0252-0,SIM-0252,S007,2026-03-04,2026-03-18,2026-03-18,7800.0,False,MG Special,Growth,synthetic,planning-v2-seed-20260920
REV-0252-1,SIM-0252,S007,2026-03-04,2026-03-18,2026-04-17,5200.0,False,MG Special,Growth,synthetic,planning-v2-seed-20260920
REV-0256-0,SIM-0256,S011,2026-02-06,2026-02-09,2026-02-09,13000,True,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0259-0,SIM-0259,S014,2026-06-18,2026-07-02,2026-07-02,24600.0,False,MG Special,Growth,synthetic,planning-v2-seed-20260920
REV-0259-1,SIM-0259,S014,2026-06-18,2026-07-02,2026-08-01,16400.0,False,MG Special,Growth,synthetic,planning-v2-seed-20260920
REV-0263-0,SIM-0263,S018,2026-03-18,2026-04-01,2026-04-01,7800.0,False,GTX Plus Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0263-1,SIM-0263,S018,2026-03-18,2026-04-01,2026-05-01,5200.0,False,GTX Plus Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0268-0,SIM-0268,S023,2026-05-10,2026-05-24,2026-05-24,24000.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0268-1,SIM-0268,S023,2026-05-10,2026-05-24,2026-06-23,16000.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0270-0,SIM-0270,S025,2026-08-06,2026-08-20,2026-08-20,31800.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0270-1,SIM-0270,S025,2026-08-06,2026-08-20,2026-09-19,21200.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0271-0,SIM-0271,S026,2026-08-17,2026-08-20,2026-08-20,81000,True,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0277-0,SIM-0277,S032,2026-09-04,2026-09-18,2026-09-18,37800.0,False,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0277-1,SIM-0277,S032,2026-09-04,2026-09-18,2026-10-18,25200.0,False,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0284-0,SIM-0284,S004,2026-03-08,2026-03-22,2026-03-22,50400.0,False,GTX Plus Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0284-1,SIM-0284,S004,2026-03-08,2026-03-22,2026-04-21,33600.0,False,GTX Plus Pro,Enterprise,synthetic,planning-v2-seed-20260920
REV-0285-0,SIM-0285,S005,2026-06-27,2026-07-11,2026-07-11,38400.0,False,GTX Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0285-1,SIM-0285,S005,2026-06-27,2026-07-11,2026-08-10,25600.0,False,GTX Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0288-0,SIM-0288,S008,2026-05-25,2026-06-08,2026-06-08,18000.0,False,GTK 500,Scale,synthetic,planning-v2-seed-20260920
REV-0288-1,SIM-0288,S008,2026-05-25,2026-06-08,2026-07-08,12000.0,False,GTK 500,Scale,synthetic,planning-v2-seed-20260920
REV-0290-0,SIM-0290,S010,2026-07-22,2026-08-05,2026-08-05,59400.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0290-1,SIM-0290,S010,2026-07-22,2026-08-05,2026-09-04,39600.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0291-0,SIM-0291,S011,2026-03-28,2026-03-31,2026-03-31,28000,True,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
