id,name,source_dimension_id,sector,segment,parent_id,history_complete,source_kind,scenario_id
A031,Demo account 031,A031,marketing,Growth,,False,synthetic,planning-v2-seed-20260920
A032,Demo account 032,A032,services,Enterprise,,True,synthetic,planning-v2-seed-20260920
A033,Demo account 033,A033,retail,Scale,,True,synthetic,planning-v2-seed-20260920
A034,Demo account 034,A034,services,Growth,GROUP-01,True,synthetic,planning-v2-seed-20260920
A035,Demo account 035,A035,technology,Enterprise,,True,synthetic,planning-v2-seed-20260920
A036,Demo account 036,A036,telecommunications,Scale,,False,synthetic,planning-v2-seed-20260920
A037,Demo account 037,A037,marketing,Growth,,True,synthetic,planning-v2-seed-20260920
A038,Demo account 038,A038,medical,Enterprise,,True,synthetic,planning-v2-seed-20260920
A039,Demo account 039,A039,technology,Scale,,True,synthetic,planning-v2-seed-20260920
A040,Demo account 040,A040,retail,Growth,,True,synthetic,planning-v2-seed-20260920
A041,Demo account 041,A041,software,Enterprise,,False,synthetic,planning-v2-seed-20260920
A042,Demo account 042,A042,retail,Scale,,True,synthetic,planning-v2-seed-20260920
A043,Demo account 043,A043,technology,Growth,,True,synthetic,planning-v2-seed-20260920
A044,Demo account 044,A044,marketing,Enterprise,,True,synthetic,planning-v2-seed-20260920
A045,Demo account 045,A045,medical,Scale,GROUP-01,True,synthetic,planning-v2-seed-20260920
A046,Demo account 046,A046,medical,Growth,,False,synthetic,planning-v2-seed-20260920
A047,Demo account 047,A047,entertainment,Enterprise,,True,synthetic,planning-v2-seed-20260920
A048,Demo account 048,A048,marketing,Scale,,True,synthetic,planning-v2-seed-20260920
A049,Demo account 049,A049,services,Growth,,True,synthetic,planning-v2-seed-20260920
A050,Demo account 050,A050,services,Enterprise,,True,synthetic,planning-v2-seed-20260920
A051,Demo account 051,A051,employment,Scale,,False,synthetic,planning-v2-seed-20260920
A052,Demo account 052,A052,finance,Growth,,True,synthetic,planning-v2-seed-20260920
A053,Demo account 053,A053,retail,Enterprise,,True,synthetic,planning-v2-seed-20260920
A054,Demo account 054,A054,entertainment,Scale,,True,synthetic,planning-v2-seed-20260920
A055,Demo account 055,A055,retail,Growth,,True,synthetic,planning-v2-seed-20260920
A056,Demo account 056,A056,technology,Enterprise,GROUP-01,False,synthetic,planning-v2-seed-20260920
A057,Demo account 057,A057,telecommunications,Scale,,True,synthetic,planning-v2-seed-20260920
A058,Demo account 058,A058,medical,Growth,,True,synthetic,planning-v2-seed-20260920
A059,Demo account 059,A059,technology,Enterprise,,True,synthetic,planning-v2-seed-20260920
A060,Demo account 060,A060,software,Scale,,True,synthetic,planning-v2-seed-20260920
A061,Demo account 061,A061,marketing,Growth,,False,synthetic,planning-v2-seed-20260920
A062,Demo account 062,A062,medical,Enterprise,,True,synthetic,planning-v2-seed-20260920
A063,Demo account 063,A063,retail,Scale,,True,synthetic,planning-v2-seed-20260920
A064,Demo account 064,A064,telecommunications,Growth,,True,synthetic,planning-v2-seed-20260920
A065,Demo account 065,A065,finance,Enterprise,,True,synthetic,planning-v2-seed-20260920
A066,Demo account 066,A066,employment,Scale,,False,synthetic,planning-v2-seed-20260920
A067,Demo account 067,A067,retail,Growth,GROUP-01,True,synthetic,planning-v2-seed-20260920
A068,Demo account 068,A068,retail,Enterprise,,True,synthetic,planning-v2-seed-20260920
A069,Demo account 069,A069,marketing,Scale,,True,synthetic,planning-v2-seed-20260920
A070,Demo account 070,A070,medical,Growth,,True,synthetic,planning-v2-seed-20260920
A071,Demo account 071,A071,retail,Enterprise,,False,synthetic,planning-v2-seed-20260920
A072,Demo account 072,A072,telecommunications,Scale,,True,synthetic,planning-v2-seed-20260920
A073,Demo account 073,A073,finance,Growth,,True,synthetic,planning-v2-seed-20260920
A074,Demo account 074,A074,finance,Enterprise,,True,synthetic,planning-v2-seed-20260920
A075,Demo account 075,A075,services,Scale,,True,synthetic,planning-v2-seed-20260920
A076,Demo account 076,A076,finance,Growth,,False,synthetic,planning-v2-seed-20260920
A077,Demo account 077,A077,entertainment,Enterprise,,True,synthetic,planning-v2-seed-20260920
A078,Demo account 078,A078,employment,Scale,GROUP-01,True,synthetic,planning-v2-seed-20260920
A079,Demo account 079,A079,retail,Growth,,True,synthetic,planning-v2-seed-20260920
A080,Demo account 080,A080,retail,Enterprise,,True,synthetic,planning-v2-seed-20260920
A081,Demo account 081,A081,technology,Scale,,False,synthetic,planning-v2-seed-20260920
A082,Demo account 082,A082,entertainment,Growth,,True,synthetic,planning-v2-seed-20260920
A083,Demo account 083,A083,software,Enterprise,,True,synthetic,planning-v2-seed-20260920
A084,Demo account 084,A084,medical,Scale,,True,synthetic,planning-v2-seed-20260920
A085,Demo account 085,A085,marketing,Growth,,True,synthetic,planning-v2-seed-20260920
