id,opportunity_id,seller_id,date,type,minutes,qualified_next_step,segment,source_kind,scenario_id
ACT-0008-5,SIM-0008,S008,2026-05-03,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0009-0,SIM-0009,S009,2026-08-30,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0010-0,SIM-0010,S010,2026-03-03,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0010-1,SIM-0010,S010,2026-03-12,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0010-2,SIM-0010,S010,2026-03-22,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0010-3,SIM-0010,S010,2026-04-01,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0010-4,SIM-0010,S010,2026-04-11,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0010-5,SIM-0010,S010,2026-05-07,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0011-0,SIM-0011,S011,2026-04-06,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0011-1,SIM-0011,S011,2026-04-13,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0011-2,SIM-0011,S011,2026-04-20,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0011-3,SIM-0011,S011,2026-04-27,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0011-4,SIM-0011,S011,2026-05-04,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0011-5,SIM-0011,S011,2026-05-22,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0012-0,SIM-0012,S012,2026-04-17,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0012-1,SIM-0012,S012,2026-04-22,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0012-2,SIM-0012,S012,2026-04-28,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0012-3,SIM-0012,S012,2026-05-04,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0012-4,SIM-0012,S012,2026-05-10,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0013-0,SIM-0013,S013,2026-01-07,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0013-1,SIM-0013,S013,2026-01-24,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0013-2,SIM-0013,S013,2026-02-11,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0013-3,SIM-0013,S013,2026-02-28,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0013-4,SIM-0013,S013,2026-03-18,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0013-5,SIM-0013,S013,2026-04-13,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0014-0,SIM-0014,S014,2026-07-18,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0014-1,SIM-0014,S014,2026-08-09,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0014-2,SIM-0014,S014,2026-08-31,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0015-0,SIM-0015,S015,2026-09-10,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0016-0,SIM-0016,S016,2026-03-15,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0016-1,SIM-0016,S016,2026-04-01,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0016-2,SIM-0016,S016,2026-04-18,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0016-3,SIM-0016,S016,2026-05-05,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0016-4,SIM-0016,S016,2026-05-22,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0016-5,SIM-0016,S016,2026-06-12,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0017-0,SIM-0017,S017,2025-12-13,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0017-1,SIM-0017,S017,2025-12-22,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0017-2,SIM-0017,S017,2025-12-31,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0017-3,SIM-0017,S017,2026-01-09,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0017-4,SIM-0017,S017,2026-01-18,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0017-5,SIM-0017,S017,2026-02-01,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0018-0,SIM-0018,S018,2026-07-14,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0018-1,SIM-0018,S018,2026-07-20,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0018-2,SIM-0018,S018,2026-07-27,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0018-3,SIM-0018,S018,2026-08-03,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0018-4,SIM-0018,S018,2026-08-10,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0018-5,SIM-0018,S018,2026-08-13,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0019-0,SIM-0019,S019,2026-04-20,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0019-1,SIM-0019,S019,2026-05-11,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0019-2,SIM-0019,S019,2026-06-01,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0019-3,SIM-0019,S019,2026-06-22,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0019-4,SIM-0019,S019,2026-07-13,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0019-5,SIM-0019,S019,2026-08-07,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0020-0,SIM-0020,S020,2026-01-13,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0020-1,SIM-0020,S020,2026-01-20,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0020-2,SIM-0020,S020,2026-01-28,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0020-3,SIM-0020,S020,2026-02-04,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0020-4,SIM-0020,S020,2026-02-12,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0020-5,SIM-0020,S020,2026-02-28,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0021-0,SIM-0021,S021,2026-01-12,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0021-1,SIM-0021,S021,2026-01-30,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0021-2,SIM-0021,S021,2026-02-17,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0021-3,SIM-0021,S021,2026-03-07,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0021-4,SIM-0021,S021,2026-03-25,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0021-5,SIM-0021,S021,2026-04-14,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0022-0,SIM-0022,S022,2026-09-10,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0023-0,SIM-0023,S023,2026-06-07,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0023-1,SIM-0023,S023,2026-06-16,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0023-2,SIM-0023,S023,2026-06-25,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0023-3,SIM-0023,S023,2026-07-05,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0023-4,SIM-0023,S023,2026-07-14,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0023-5,SIM-0023,S023,2026-08-14,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0024-0,SIM-0024,S024,2026-04-02,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0024-1,SIM-0024,S024,2026-04-15,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0024-2,SIM-0024,S024,2026-04-28,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0024-3,SIM-0024,S024,2026-05-12,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0024-4,SIM-0024,S024,2026-05-25,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0024-5,SIM-0024,S024,2026-06-18,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0025-0,SIM-0025,S025,2026-05-08,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0025-1,SIM-0025,S025,2026-05-13,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0025-2,SIM-0025,S025,2026-05-18,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0025-3,SIM-0025,S025,2026-05-23,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0025-4,SIM-0025,S025,2026-05-28,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0025-5,SIM-0025,S025,2026-06-27,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0026-0,SIM-0026,S026,2025-12-30,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0026-1,SIM-0026,S026,2026-01-21,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0026-2,SIM-0026,S026,2026-02-12,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0026-3,SIM-0026,S026,2026-03-06,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0026-4,SIM-0026,S026,2026-03-28,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0026-5,SIM-0026,S026,2026-05-06,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0027-0,SIM-0027,S027,2026-01-10,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0027-1,SIM-0027,S027,2026-01-17,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0027-2,SIM-0027,S027,2026-01-24,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0027-3,SIM-0027,S027,2026-01-31,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0027-4,SIM-0027,S027,2026-02-07,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0027-5,SIM-0027,S027,2026-02-11,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0028-0,SIM-0028,S028,2026-04-26,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0028-1,SIM-0028,S028,2026-05-06,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0028-2,SIM-0028,S028,2026-05-17,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0028-3,SIM-0028,S028,2026-05-27,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0028-4,SIM-0028,S028,2026-06-07,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0028-5,SIM-0028,S028,2026-06-25,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0029-0,SIM-0029,S029,2026-01-12,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0029-1,SIM-0029,S029,2026-01-22,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0029-2,SIM-0029,S029,2026-02-01,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0029-3,SIM-0029,S029,2026-02-12,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0029-4,SIM-0029,S029,2026-02-22,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0029-5,SIM-0029,S029,2026-03-19,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0030-0,SIM-0030,S030,2026-06-30,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0030-1,SIM-0030,S030,2026-07-16,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0030-2,SIM-0030,S030,2026-08-01,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0030-3,SIM-0030,S030,2026-08-17,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0030-4,SIM-0030,S030,2026-09-02,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0030-5,SIM-0030,S030,2026-09-17,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0031-0,SIM-0031,S031,2026-09-06,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0032-0,SIM-0032,S032,2026-09-06,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0032-1,SIM-0032,S032,2026-09-18,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0033-0,SIM-0033,S033,2026-09-17,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0034-0,SIM-0034,S034,2026-09-02,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0035-0,SIM-0035,S035,2026-09-06,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0035-1,SIM-0035,S035,2026-09-13,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0036-0,SIM-0036,S001,2026-08-18,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0036-1,SIM-0036,S001,2026-08-24,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0036-2,SIM-0036,S001,2026-08-30,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0036-3,SIM-0036,S001,2026-09-06,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0036-4,SIM-0036,S001,2026-09-12,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0037-0,SIM-0037,S002,2026-05-29,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0037-1,SIM-0037,S002,2026-06-09,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0037-2,SIM-0037,S002,2026-06-20,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0037-3,SIM-0037,S002,2026-07-01,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0037-4,SIM-0037,S002,2026-07-12,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0037-5,SIM-0037,S002,2026-08-14,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0038-0,SIM-0038,S003,2026-03-15,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0038-1,SIM-0038,S003,2026-04-01,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0038-2,SIM-0038,S003,2026-04-19,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0038-3,SIM-0038,S003,2026-05-06,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0038-4,SIM-0038,S003,2026-05-24,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0038-5,SIM-0038,S003,2026-06-25,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0039-0,SIM-0039,S004,2026-03-27,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0039-1,SIM-0039,S004,2026-04-12,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0039-2,SIM-0039,S004,2026-04-28,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0039-3,SIM-0039,S004,2026-05-14,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0039-4,SIM-0039,S004,2026-05-30,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0039-5,SIM-0039,S004,2026-07-02,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0040-0,SIM-0040,S005,2026-06-28,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0040-1,SIM-0040,S005,2026-07-10,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0040-2,SIM-0040,S005,2026-07-23,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0040-3,SIM-0040,S005,2026-08-05,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0040-4,SIM-0040,S005,2026-08-18,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0040-5,SIM-0040,S005,2026-09-05,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0041-0,SIM-0041,S006,2026-07-30,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0041-1,SIM-0041,S006,2026-08-15,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0041-2,SIM-0041,S006,2026-08-31,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0041-3,SIM-0041,S006,2026-09-17,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0042-0,SIM-0042,S007,2026-05-04,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0042-1,SIM-0042,S007,2026-05-18,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0042-2,SIM-0042,S007,2026-06-01,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0042-3,SIM-0042,S007,2026-06-15,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0042-4,SIM-0042,S007,2026-06-29,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0042-5,SIM-0042,S007,2026-07-25,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0043-0,SIM-0043,S008,2026-09-17,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0044-0,SIM-0044,S009,2026-08-21,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0044-1,SIM-0044,S009,2026-09-04,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0045-0,SIM-0045,S010,2026-05-05,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0045-1,SIM-0045,S010,2026-05-15,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0045-2,SIM-0045,S010,2026-05-26,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0045-3,SIM-0045,S010,2026-06-05,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0045-4,SIM-0045,S010,2026-06-16,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0045-5,SIM-0045,S010,2026-06-23,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0046-0,SIM-0046,S011,2026-07-21,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0046-1,SIM-0046,S011,2026-08-09,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0046-2,SIM-0046,S011,2026-08-29,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0046-3,SIM-0046,S011,2026-09-18,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0047-0,SIM-0047,S012,2026-07-23,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0047-1,SIM-0047,S012,2026-07-31,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0047-2,SIM-0047,S012,2026-08-09,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0047-3,SIM-0047,S012,2026-08-18,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0047-4,SIM-0047,S012,2026-08-27,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0047-5,SIM-0047,S012,2026-09-04,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0048-0,SIM-0048,S013,2026-05-24,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0048-1,SIM-0048,S013,2026-06-02,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0048-2,SIM-0048,S013,2026-06-12,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0048-3,SIM-0048,S013,2026-06-22,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0048-4,SIM-0048,S013,2026-07-02,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0048-5,SIM-0048,S013,2026-07-15,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0049-0,SIM-0049,S014,2026-08-30,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0049-1,SIM-0049,S014,2026-09-18,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0050-0,SIM-0050,S015,2026-09-15,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0051-0,SIM-0051,S016,2026-08-08,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0051-1,SIM-0051,S016,2026-08-26,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0051-2,SIM-0051,S016,2026-09-14,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0052-0,SIM-0052,S017,2026-02-26,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0052-1,SIM-0052,S017,2026-03-13,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0052-2,SIM-0052,S017,2026-03-29,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0052-3,SIM-0052,S017,2026-04-14,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0052-4,SIM-0052,S017,2026-04-30,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0052-5,SIM-0052,S017,2026-05-11,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0053-0,SIM-0053,S018,2026-02-03,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0053-1,SIM-0053,S018,2026-02-20,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
